date,open,high,close,low,volume,amount
2017-06-23,20.02,20.63,20.46,19.78,15716622.0,318017081.0
2017-06-22,21.0,21.3,20.23,20.05,18048680.0,375683561.0
2017-06-21,21.34,21.6,21.07,20.8,19335969.0,410020891.0
2017-06-20,20.99,22.12,21.36,20.6,26334910.0,556356594.0
2017-06-19,19.91,21.29,20.98,19.9,27021216.0,562133228.0
2017-06-16,19.9,20.2,19.92,19.7,13744599.0,275245228.0
2017-06-15,19.67,20.33,20.01,19.6,14655145.0,293410465.0
2017-06-14,20.05,20.38,19.87,19.81,21986722.0,441174048.0
2017-06-13,20.27,20.76,20.55,20.11,21054148.0,430455148.0
2017-06-12,21.39,21.39,20.62,20.42,29456210.0,614283093.0
2017-06-09,20.23,21.89,21.41,19.96,43489489.0,906956403.0
2017-06-08,20.65,21.88,20.2,20.16,47007278.0,982690640.0
2017-06-07,19.2,21.28,20.94,19.2,37169441.0,748680997.0
2017-06-06,19.03,20.8,19.39,18.86,30701434.0,606190990.0
2017-06-05,18.7,19.49,19.03,18.62,21113374.0,402896424.0
2017-06-02,17.71,19.48,19.1,17.5,27225864.0,505322820.0
2017-06-01,17.76,18.34,17.76,17.66,12811637.0,230917200.0
2017-05-31,18.26,18.6,17.91,17.89,13652297.0,248841747.0
2017-05-26,18.12,18.28,17.85,17.81,12760700.0,229484090.0
2017-05-25,16.99,18.27,18.22,16.98,16192276.0,291065427.0
2017-05-24,17.42,17.51,17.38,16.19,16155968.0,277923247.0
2017-05-23,17.73,18.6,17.99,17.7,18746688.0,344444905.0
2017-05-22,18.11,18.34,17.75,17.52,13082735.0,237014645.0
2017-05-19,17.7,18.6,18.36,17.42,18845821.0,346487497.0
2017-05-18,17.82,18.1,17.86,17.33,13151340.0,236297141.0
2017-05-17,17.86,18.49,18.1,17.68,19129835.0,349102938.0
2017-05-16,16.93,18.68,18.1,16.85,23453601.0,423717705.0
2017-05-15,17.22,17.36,16.98,16.83,13998528.0,241469363.0
2017-05-12,17.06,18.0,17.62,16.87,16988959.0,299883656.0
2017-05-11,16.01,17.03,17.03,15.94,11830196.0,198714446.0
2017-05-10,16.3,16.77,16.35,16.2,7269492.0,120930757.0
2017-05-09,15.89,16.34,16.3,15.89,5558443.0,90564090.0
2017-05-08,16.62,16.79,15.89,15.85,8417641.0,138290307.0
2017-05-05,17.0,17.34,16.72,16.63,8048667.0,138739322.0
2017-05-04,17.18,17.38,17.11,17.01,9119979.0,158197618.0
2017-05-03,16.97,18.09,17.43,16.93,15079614.0,266029034.0
2017-05-02,16.63,17.18,17.08,16.6,8619195.0,147638922.0
2017-04-28,16.61,17.2,17.08,16.54,11334575.0,193426884.0
2017-04-27,16.11,16.56,16.43,15.95,9845362.0,161738762.0
2017-04-26,15.84,16.3,16.24,15.75,8165674.0,132740159.0
2017-04-25,15.69,16.12,15.84,15.6,8480059.0,135711576.0
2017-04-24,15.96,16.14,15.51,15.47,7345245.0,116948033.0
2017-04-21,16.53,16.78,16.15,16.12,8401220.0,138876706.0
2017-04-20,17.01,17.2,16.6,16.49,8548437.0,145481576.0
2017-04-19,16.93,17.05,17.03,16.43,11028775.0,186344968.0
2017-04-18,17.28,17.61,17.08,17.08,10968537.0,192502252.0
2017-04-17,17.52,17.71,17.34,17.03,14083077.0,246495199.0
2017-04-14,19.0,19.0,17.88,17.7,25952630.0,476469053.0
2017-04-13,20.67,20.67,19.09,18.84,32141277.0,629223365.0
2017-04-12,19.01,19.89,19.89,18.51,42061670.0,823742863.0
2017-04-11,17.03,18.41,18.08,16.65,23409628.0,414167859.0
2017-04-10,16.63,17.09,16.93,16.5,10467872.0,178528427.0
2017-04-07,16.71,17.19,16.74,16.45,10791492.0,183594131.0
2017-04-06,16.33,16.81,16.69,16.19,11004665.0,184443982.0
2017-04-05,15.96,16.32,16.26,15.94,6571933.0,107413484.0
2017-03-31,16.34,16.6,16.06,15.95,9521166.0,155547275.0
2017-03-30,15.89,16.01,15.35,15.35,5442700.0,85355472.0
2017-03-29,16.13,16.22,15.92,15.87,2834011.0,45876074.0
2017-03-28,16.23,16.26,16.03,16.02,2734923.0,44521860.0
2017-03-27,16.11,16.3,16.23,16.01,3553831.0,58023327.0
2017-03-24,15.98,16.39,16.11,15.85,3992702.0,64865778.0
2017-03-23,16.05,16.14,15.98,15.89,3346339.0,54117095.0
2017-03-22,16.28,16.28,15.98,15.76,5775243.0,93338510.0
2017-03-21,16.32,16.42,16.31,16.24,3024240.0,49803625.0
2017-03-20,16.37,16.53,16.26,16.22,5344253.0,88008394.0
2017-03-17,16.83,16.83,16.45,16.41,4674468.0,78521512.0
2017-03-16,16.58,16.78,16.68,16.51,4682358.0,78814244.0
2017-03-15,16.61,16.7,16.49,16.44,4411572.0,73713007.0
2017-03-14,16.79,17.05,16.7,16.61,5074943.0,85974631.0
2017-03-13,16.78,16.79,16.74,16.48,5873733.0,98866235.0
2017-03-10,16.68,17.34,16.98,16.63,8598135.0,148096487.0
2017-03-09,17.23,17.47,16.92,16.9,10013179.0,173709441.0
2017-03-08,16.85,16.86,16.73,16.7,2871882.0,48616024.0
2017-03-07,16.81,17.01,16.85,16.7,4090102.0,69537289.0
2017-03-06,16.61,16.91,16.86,16.51,5817446.0,98204829.0
2017-03-03,17.09,17.09,16.61,16.53,8016895.0,135226215.0
2017-03-02,17.13,17.33,17.07,17.05,6135807.0,106528026.0
2017-03-01,17.15,17.28,17.08,17.03,4348716.0,75315310.0
2017-02-28,16.95,17.11,17.03,16.95,3172927.0,54538497.0
2017-02-27,17.22,17.47,17.03,16.92,5247929.0,90859712.0
2017-02-24,17.13,17.22,17.22,17.03,3798899.0,65766650.0
2017-02-23,17.37,17.47,17.13,17.05,6448403.0,111987576.0
2017-02-22,17.33,17.9,17.4,17.16,8661556.0,153465037.0
2017-02-21,17.13,17.58,17.41,16.96,7338182.0,128163951.0
2017-02-20,16.88,17.15,17.1,16.86,4256980.0,73207783.0
2017-02-17,17.36,17.49,16.97,16.94,7963179.0,137956056.0
2017-02-16,17.34,17.62,17.48,17.31,9954995.0,175453563.0
2017-02-15,17.03,18.58,17.73,16.84,20234288.0,359691257.0
2017-02-14,16.95,17.1,17.0,16.8,5535335.0,94757352.0
2017-02-13,16.84,17.1,16.96,16.81,4594199.0,78894887.0
2017-02-10,17.27,17.31,16.93,16.86,6562251.0,113165006.0
2017-02-09,17.11,17.46,17.34,16.98,8571428.0,148944776.0
2017-02-08,17.09,17.16,17.08,16.81,6273287.0,107451453.0
2017-02-07,16.79,17.29,17.16,16.76,8775169.0,150960244.0
2017-02-06,16.49,17.01,16.87,16.49,6229399.0,105856277.0
2017-02-03,16.52,16.6,16.48,16.37,2715801.0,45163403.0
2017-01-26,16.46,16.56,16.44,16.42,3043923.0,50663659.0
