date,open,high,close,low,volume,amount
2017-06-23,15.28,16.65,15.99,15.27,12857865.0,204702770.0
2017-06-22,15.62,15.62,15.28,15.2,6052541.0,92982869.0
2017-06-21,15.58,15.65,15.64,15.46,4142929.0,64525755.0
2017-06-20,15.5,15.79,15.58,15.41,5823216.0,90972079.0
2017-06-19,15.37,15.54,15.5,15.19,4782686.0,73405185.0
2017-06-16,14.9,15.62,15.4,14.85,7837426.0,119378256.0
2017-06-15,14.75,15.06,14.9,14.74,3774466.0,56334989.0
2017-06-14,15.0,15.09,14.77,14.73,4264764.0,63390730.0
2017-06-13,14.71,15.1,14.97,14.71,3309905.0,49491452.0
2017-06-12,14.68,14.95,14.8,14.52,3446375.0,50950166.0
2017-06-09,14.56,14.84,14.78,14.44,3239423.0,47483850.0
2017-06-08,14.85,15.08,14.7,14.69,3526247.0,52375159.0
2017-06-07,14.78,14.95,14.85,14.51,4596607.0,68103618.0
2017-06-06,14.24,14.78,14.65,14.24,5198897.0,75778203.0
2017-06-05,14.26,14.37,14.24,14.03,3088914.0,43900140.0
2017-06-02,13.29,14.5,14.09,13.28,4588219.0,63853941.0
2017-06-01,14.37,14.37,13.42,13.42,3809611.0,53234068.0
2017-05-31,14.62,14.87,14.4,14.36,3375779.0,49392543.0
2017-05-26,14.28,14.57,14.46,14.16,3783631.0,54430292.0
2017-05-25,14.08,14.29,14.25,13.8,3881762.0,54714202.0
2017-05-24,13.99,14.35,14.16,13.6,4168647.0,58412855.0
2017-05-23,15.6,15.74,14.12,14.12,8609623.0,127082993.0
2017-05-22,16.2,16.22,15.69,15.69,3523078.0,56124372.0
2017-05-19,16.18,16.35,16.22,16.11,2511005.0,40716603.0
2017-05-18,16.1,16.48,16.18,15.95,4265945.0,69222841.0
2017-05-17,16.74,17.05,16.5,16.33,6936464.0,115576439.0
2017-05-16,16.27,16.79,16.76,16.06,4677348.0,76881896.0
2017-05-15,16.38,16.54,16.29,16.24,3986736.0,65321266.0
2017-05-12,16.17,16.37,16.24,15.92,3469036.0,56200060.0
2017-05-11,15.71,16.3,16.21,15.63,5705351.0,91558980.0
2017-05-10,16.34,16.47,15.95,15.9,5023219.0,81254019.0
2017-05-09,16.11,16.4,16.4,15.71,5441282.0,87580330.0
2017-05-08,17.0,17.0,16.35,16.35,4674101.0,77721894.0
2017-05-05,16.82,17.15,16.9,16.7,4440159.0,75118813.0
2017-05-04,17.42,17.44,16.87,16.87,6834205.0,117042996.0
2017-05-03,17.95,17.98,17.52,17.38,5122300.0,90489993.0
2017-05-02,17.67,17.94,17.85,17.52,4850377.0,85744686.0
2017-04-28,17.69,17.85,17.71,17.56,4950546.0,87507834.0
2017-04-27,17.23,17.88,17.78,17.09,9123183.0,159464822.0
2017-04-26,17.02,17.23,17.22,16.86,5591704.0,95460569.0
2017-04-25,16.88,17.24,17.05,16.79,5997515.0,102143693.0
2017-04-24,16.57,17.17,16.82,16.22,9761901.0,163179511.0
2017-04-21,16.63,16.67,16.49,16.23,5635418.0,92410258.0
2017-04-20,16.49,16.75,16.64,16.46,4921276.0,81661976.0
2017-04-19,16.9,17.13,16.43,16.17,6644431.0,109427452.0
2017-04-18,17.44,17.44,17.14,17.03,3599091.0,62014278.0
2017-04-17,17.2,17.65,17.44,17.16,6152849.0,107217564.0
2017-04-14,17.17,17.32,17.16,16.85,5501284.0,93974785.0
2017-04-13,17.05,17.26,17.16,17.04,3563549.0,61192066.0
2017-04-12,17.51,17.55,17.11,17.08,4768513.0,82497353.0
2017-04-11,17.37,17.64,17.59,17.22,5883357.0,102599974.0
2017-04-10,18.07,18.2,17.42,17.36,7788072.0,136896276.0
2017-04-07,18.64,18.64,18.15,18.11,6932420.0,126710421.0
2017-04-06,18.83,18.89,18.63,18.46,6518635.0,121463064.0
2017-04-05,18.68,19.01,18.86,18.5,6850841.0,129018076.0
2017-03-31,18.41,18.6,18.48,18.21,4373214.0,80390093.0
2017-03-30,18.4,18.64,18.22,18.2,5928119.0,109225600.0
2017-03-29,18.7,18.87,18.45,18.4,7259341.0,135481619.0
2017-03-28,19.29,19.34,18.46,18.3,13865996.0,260343756.0
2017-03-27,19.91,20.19,19.59,19.56,9452052.0,187474712.0
2017-03-24,19.77,19.87,19.6,19.51,8172574.0,160493232.0
2017-03-23,19.84,20.25,19.9,19.5,13856598.0,275558179.0
2017-03-22,19.51,20.08,19.95,19.46,12470779.0,246452451.0
2017-03-21,19.56,19.75,19.57,19.35,5992276.0,116826026.0
2017-03-20,19.25,19.64,19.61,19.15,6873436.0,133556249.0
2017-03-17,19.33,19.57,19.29,19.18,8062356.0,155864637.0
2017-03-16,19.18,20.15,19.48,19.1,12449868.0,243762805.0
2017-03-15,19.32,19.4,18.94,18.82,9623008.0,183360474.0
2017-03-14,19.77,19.87,19.23,19.19,9680683.0,188729977.0
2017-03-13,19.34,19.75,19.72,19.26,9079917.0,177950721.0
2017-03-10,19.5,19.69,19.51,19.26,9413422.0,183280854.0
2017-03-09,19.29,19.7,19.54,19.17,12672513.0,246059347.0
2017-03-08,19.68,19.74,19.37,19.17,12285415.0,237990480.0
2017-03-07,19.52,20.2,19.69,19.4,17706526.0,349653918.0
2017-03-06,19.72,19.94,19.57,19.31,18564927.0,362797355.0
2017-03-03,19.75,21.0,19.78,19.57,30535252.0,615368048.0
2017-03-02,20.0,20.98,20.11,19.45,37679357.0,757395750.0
2017-03-01,18.24,20.06,20.06,18.1,38767513.0,751714141.0
2017-02-28,17.95,18.32,18.24,17.48,12297694.0,220115480.0
2017-02-27,18.2,18.25,17.86,17.6,7475568.0,133807640.0
2017-02-24,18.14,18.5,18.13,17.9,8976840.0,162658383.0
2017-02-23,17.74,18.35,18.19,17.56,16371536.0,295642378.0
2017-02-22,17.65,18.01,17.84,17.41,11504179.0,203736920.0
2017-02-21,17.29,17.88,17.66,17.15,13380868.0,234918183.0
2017-02-20,17.09,17.25,17.21,16.81,4339502.0,73929653.0
2017-02-17,17.33,17.45,17.03,16.78,5254173.0,89563153.0
2017-02-16,17.0,17.38,17.31,16.9,4995515.0,85849816.0
2017-02-15,17.28,17.45,16.98,16.96,6429211.0,110325227.0
2017-02-14,17.4,17.62,17.4,17.2,6171391.0,107473929.0
2017-02-13,17.0,17.6,17.41,16.81,9997217.0,173052454.0
2017-02-10,16.91,17.3,16.94,16.87,9227544.0,157071003.0
2017-02-09,17.36,17.98,17.2,17.06,17859102.0,311824404.0
2017-02-08,16.4,16.94,16.86,16.37,8026875.0,133786226.0
2017-02-07,16.48,16.52,16.5,16.26,4798541.0,78743925.0
2017-02-06,15.92,16.7,16.47,15.92,7036701.0,115630045.0
2017-02-03,16.38,16.44,15.92,15.87,3806852.0,60959160.0
2017-01-26,16.27,16.42,16.31,16.1,4308753.0,70110347.0
2017-01-25,16.2,16.35,16.2,16.13,3317973.0,53885630.0
2017-01-24,16.3,16.46,16.15,16.05,3524885.0,57061255.0
2017-01-23,16.03,16.48,16.28,16.03,4739011.0,76904235.0
2017-01-20,15.6,16.2,16.03,15.6,4366956.0,69929732.0
2017-01-19,15.68,15.98,15.8,15.45,4476039.0,70520750.0
2017-01-18,16.2,16.29,15.75,15.54,7916343.0,126099159.0
2017-01-17,16.03,16.5,16.34,15.84,7397945.0,119972455.0
2017-01-16,17.3,17.3,16.03,15.82,14552008.0,236974568.0
2017-01-13,18.4,18.57,17.58,17.48,10986352.0,198473616.0
2017-01-12,17.36,18.82,18.48,17.36,16348396.0,296525391.0
2017-01-11,18.16,18.16,17.34,17.2,9612925.0,168812393.0
2017-01-10,18.61,18.77,18.2,18.12,10267911.0,189191857.0
2017-01-09,17.99,18.47,18.39,17.95,9823003.0,179278992.0
2017-01-06,17.95,18.8,18.27,17.79,15887618.0,290780989.0
2017-01-05,17.85,18.3,17.95,17.68,9054342.0,162929654.0
2017-01-04,17.64,17.96,17.87,17.37,7510556.0,133148850.0
2017-01-03,17.27,17.63,17.51,17.2,5109991.0,89354740.0
