date,open,high,close,low,volume,amount
2017-06-19,4.93,5.03,5.0,4.92,19761360.0,98685947.0
2017-06-16,4.93,4.97,4.94,4.9,16194506.0,79874450.0
2017-06-15,4.86,5.02,4.95,4.84,30556554.0,151510581.0
2017-06-14,4.89,4.89,4.85,4.83,13663483.0,66329136.0
2017-06-13,4.82,4.91,4.89,4.8,16530279.0,80549657.0
2017-06-12,4.86,4.88,4.82,4.8,15479737.0,74940366.0
2017-06-09,4.91,4.91,4.86,4.81,19103952.0,92785704.0
2017-06-08,4.91,4.95,4.9,4.87,20097195.0,98531565.0
2017-06-07,4.81,4.91,4.9,4.79,25939414.0,126498247.0
2017-06-06,4.78,4.8,4.8,4.76,12704044.0,60794249.0
2017-06-05,4.79,4.83,4.77,4.74,18872271.0,90242521.0
2017-06-02,4.62,4.75,4.74,4.57,22398890.0,104446842.0
2017-06-01,4.8,4.81,4.61,4.6,26611960.0,125377249.0
2017-05-31,4.8,4.92,4.8,4.77,26587666.0,128705977.0
2017-05-26,4.73,4.78,4.73,4.71,20774287.0,98625849.0
2017-05-25,4.61,4.8,4.74,4.55,41859690.0,195900928.0
2017-05-24,4.5,4.63,4.61,4.47,31539872.0,143799425.0
2017-05-23,4.98,5.01,4.5,4.48,69365352.0,327469952.0
2017-05-22,5.12,5.14,4.98,4.98,27856443.0,140698742.0
2017-05-19,5.15,5.16,5.11,5.09,16397452.0,84015980.0
2017-05-18,5.15,5.22,5.14,5.11,25010673.0,129132079.0
2017-05-17,5.17,5.26,5.18,5.14,33168200.0,172563321.0
2017-05-16,5.04,5.17,5.17,4.97,38873870.0,198135946.0
2017-05-15,5.15,5.18,5.07,5.06,32578754.0,167644402.0
2017-05-12,5.12,5.26,5.15,5.08,43993625.0,228316363.0
2017-05-11,5.27,5.29,5.12,5.01,63175865.0,325062295.0
2017-05-10,5.41,5.54,5.35,5.33,37018030.0,201878293.0
2017-05-09,5.39,5.42,5.39,5.32,29174708.0,157553746.0
2017-05-08,5.52,5.56,5.38,5.38,25741555.0,141365629.0
2017-05-05,5.77,5.8,5.52,5.52,47230008.0,266373053.0
2017-05-04,5.86,5.9,5.8,5.76,24894695.0,145664945.0
2017-05-03,5.93,5.96,5.88,5.85,18296811.0,108313101.0
2017-05-02,5.96,5.98,5.94,5.89,18441919.0,109814575.0
2017-04-28,5.98,6.02,5.97,5.9,21838076.0,130753618.0
2017-04-27,5.86,6.16,6.0,5.7,44653103.0,263633041.0
2017-04-26,5.84,5.94,5.88,5.83,28111509.0,166111621.0
2017-04-25,5.86,5.93,5.84,5.81,22025822.0,129756121.0
2017-04-24,6.1,6.1,5.83,5.82,40773504.0,242486637.0
2017-04-21,6.08,6.15,6.09,6.04,25104429.0,153546520.0
2017-04-20,6.22,6.27,6.09,6.0,53922583.0,331354185.0
2017-04-19,6.23,6.27,6.25,6.15,37424045.0,232825060.0
2017-04-18,6.26,6.35,6.26,6.22,38948583.0,245614187.0
2017-04-17,6.48,6.5,6.27,6.21,72796605.0,461734968.0
2017-04-14,6.67,6.73,6.51,6.49,76876550.0,507806380.0
2017-04-13,6.44,6.81,6.72,6.41,132227171.0,885134514.0
2017-04-12,6.64,6.64,6.49,6.46,75478854.0,497295336.0
2017-04-11,6.57,6.73,6.68,6.44,131459875.0,873100528.0
2017-04-10,6.46,6.79,6.59,6.38,109469078.0,720984700.0
2017-04-07,6.4,6.49,6.44,6.33,79510555.0,512663782.0
2017-04-06,6.47,6.47,6.31,6.29,69377899.0,444040134.0
2017-04-05,6.27,6.36,6.32,6.16,57624941.0,363346627.0
2017-03-31,6.06,6.14,6.12,6.04,29151892.0,178450210.0
2017-03-30,6.19,6.21,6.05,6.02,51634163.0,316079121.0
2017-03-29,6.24,6.28,6.2,6.13,46945844.0,292394510.0
2017-03-28,6.38,6.42,6.26,6.24,54799803.0,346097694.0
2017-03-27,6.37,6.47,6.4,6.34,41099391.0,264583672.0
2017-03-24,6.35,6.46,6.38,6.27,55051035.0,350294349.0
2017-03-23,6.55,6.61,6.4,6.23,87983886.0,568130514.0
2017-03-22,6.62,6.64,6.55,6.49,59176978.0,389857247.0
2017-03-21,6.65,6.73,6.67,6.59,56257002.0,375468608.0
2017-03-20,6.5,6.69,6.67,6.48,65492667.0,433484898.0
2017-03-17,6.63,6.69,6.51,6.51,76021561.0,504682339.0
2017-03-16,6.49,6.76,6.71,6.47,105717308.0,703475256.0
2017-03-15,6.49,6.5,6.46,6.42,44346423.0,287064903.0
2017-03-14,6.59,6.67,6.53,6.5,63536122.0,420347433.0
