time,open,high,low,close,volume,amount,vol_norm,amo_norm,vol_buy,amo_buy,vol_sell,amo_sell
 15:00:00,4.81,4.81,4.81,4.81,489.0,235209.0,0.0,0.0,489.0,235209.0,0.0,0.0
 14:55:00,4.8,4.81,4.8,4.81,733.0,352286.0,0.0,0.0,446.0,214526.0,287.0,137760.0
 14:50:00,4.8,4.81,4.8,4.81,668.0,321214.0,0.0,0.0,574.0,276094.0,94.0,45120.0
 14:45:00,4.81,4.81,4.8,4.81,408.0,195929.0,4.0,1924.0,85.0,40885.0,319.0,153120.0
 14:40:00,4.81,4.81,4.8,4.81,117.0,56251.0,0.0,0.0,91.0,43771.0,26.0,12480.0
 14:35:00,4.81,4.82,4.8,4.8,860.0,413310.0,0.0,0.0,389.0,187129.0,471.0,226181.0
 14:30:00,4.81,4.82,4.8,4.81,361.0,173507.0,15.0,7215.0,65.0,31266.0,281.0,135026.0
 14:25:00,4.81,4.82,4.81,4.81,2240.0,1078238.0,66.0,31746.0,1602.0,771360.0,572.0,275132.0
 14:20:00,4.81,4.81,4.8,4.8,1461.0,701540.0,0.0,0.0,260.0,125060.0,1201.0,576480.0
 14:15:00,4.81,4.81,4.8,4.81,355.0,170605.0,5.0,2405.0,200.0,96200.0,150.0,72000.0
 14:10:00,4.8,4.81,4.8,4.8,382.0,183372.0,0.0,0.0,12.0,5772.0,370.0,177600.0
 14:05:00,4.8,4.82,4.79,4.81,1576.0,759059.0,90.0,43201.0,1289.0,620552.0,197.0,95306.0
 14:00:00,4.78,4.8,4.77,4.8,2266.0,1084660.0,1.0,479.0,2005.0,959977.0,260.0,124204.0
 13:55:00,4.77,4.78,4.76,4.78,258.0,122919.0,7.0,3339.0,86.0,41040.0,165.0,78540.0
 13:50:00,4.77,4.78,4.76,4.77,553.0,263668.0,104.0,49608.0,97.0,46312.0,352.0,167748.0
 13:45:00,4.77,4.78,4.77,4.77,809.0,385939.0,0.0,0.0,46.0,21988.0,763.0,363951.0
 13:40:00,4.78,4.79,4.77,4.77,2362.0,1129092.0,0.0,0.0,2113.0,1010123.0,249.0,118969.0
 13:35:00,4.77,4.77,4.76,4.77,1179.0,562185.0,7.0,3339.0,974.0,464598.0,198.0,94248.0
 13:30:00,4.76,4.77,4.76,4.77,344.0,164003.0,0.0,0.0,284.0,135443.0,60.0,28560.0
 13:25:00,4.77,4.77,4.76,4.76,849.0,404364.0,0.0,0.0,240.0,114480.0,609.0,289884.0
 13:20:00,4.75,4.76,4.75,4.76,1036.0,493022.0,4.0,1904.0,930.0,442668.0,102.0,48450.0
 13:15:00,4.74,4.75,4.74,4.75,271.0,128636.0,0.0,0.0,182.0,86450.0,89.0,42186.0
 13:10:00,4.74,4.75,4.74,4.75,369.0,174927.0,40.0,18960.0,21.0,9975.0,308.0,145992.0
 13:05:00,4.75,4.76,4.74,4.74,220.0,104960.0,0.0,0.0,114.0,54274.0,106.0,50686.0
 13:00:00,4.75,4.75,4.75,4.75,1414.0,671650.0,0.0,0.0,616.0,292600.0,798.0,379050.0
 11:30:00,4.75,4.75,4.75,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
 11:25:00,4.76,4.76,4.75,4.75,256.0,121624.0,1.0,475.0,24.0,11424.0,231.0,109725.0
 11:20:00,4.75,4.76,4.75,4.75,294.0,139798.0,0.0,0.0,148.0,70448.0,146.0,69350.0
 11:15:00,4.76,4.76,4.75,4.76,406.0,193057.0,0.0,0.0,207.0,98532.0,199.0,94525.0
 11:10:00,4.75,4.76,4.75,4.76,92.0,43746.0,10.0,4760.0,36.0,17136.0,46.0,21850.0
 11:05:00,4.76,4.76,4.75,4.75,360.0,171108.0,0.0,0.0,108.0,51408.0,252.0,119700.0
 11:00:00,4.75,4.76,4.75,4.76,550.0,261676.0,47.0,22325.0,321.0,152796.0,182.0,86555.0
 10:55:00,4.75,4.77,4.75,4.75,275.0,130799.0,0.0,0.0,130.0,61882.0,145.0,68917.0
 10:50:00,4.76,4.76,4.75,4.76,479.0,227981.0,0.0,0.0,295.0,140420.0,184.0,87561.0
 10:45:00,4.76,4.77,4.76,4.77,229.0,109042.0,28.0,13328.0,38.0,18126.0,163.0,77588.0
