time,price,pchange,change,volume,amount,type
14:40:18,8.18,+0.99,0.0,56,45808,sell
14:40:15,8.18,+0.99,-0.01,226,184868,sell
14:40:12,8.19,+1.11,0.0,3,2457,buy
14:40:09,8.19,+1.11,0.01,10,8190,buy
14:39:57,8.18,+0.99,-0.01,9,7362,sell
14:39:51,8.19,+1.11,0.01,79,64701,buy
14:39:45,8.18,+0.99,-0.01,50,40900,sell
14:39:24,8.19,+1.11,0.01,1,819,buy
14:39:18,8.18,+0.99,-0.01,11,8998,sell
14:39:12,8.19,+1.11,0.0,10,8190,buy
14:39:00,8.19,+1.11,0.0,5,4095,buy
14:38:57,8.19,+1.11,0.0,8,6552,buy
14:38:45,8.19,+1.11,0.0,180,147420,sell
14:38:42,8.19,+1.11,0.0,25,20475,sell
14:38:30,8.19,+1.11,0.0,12,9828,sell
14:38:15,8.19,+1.11,0.0,6,4914,sell
14:38:12,8.19,+1.11,-0.01,430,352170,sell
14:38:06,8.2,+1.23,0.01,220,180400,buy
14:38:03,8.19,+1.11,-0.01,5,4095,sell
14:38:00,8.2,+1.23,0.0,515,422300,buy
14:37:57,8.2,+1.23,0.01,1046,857720,buy
14:37:48,8.19,+1.11,0.0,60,49140,sell
14:37:39,8.19,+1.11,0.0,10,8190,norm
14:37:39,8.19,+1.11,0.0,10,8190,sell
14:37:33,8.19,+1.11,0.01,42,34398,buy
14:37:27,8.18,+0.99,-0.02,40,32720,sell
14:37:18,8.2,+1.23,0.0,20,16400,buy
14:37:15,8.2,+1.23,0.01,100,82000,buy
14:37:12,8.19,+1.11,0.0,10,8190,norm
14:37:00,8.19,+1.11,0.01,20,16380,norm
14:36:39,8.18,+0.99,0.0,11,8998,sell
14:36:27,8.18,+0.99,-0.01,105,85890,sell
14:36:24,8.19,+1.11,0.0,10,8190,sell
14:36:21,8.19,+1.11,0.0,10,8190,sell
14:36:15,8.19,+1.11,0.01,8,6552,buy
14:36:06,8.18,+0.99,0.0,15,12270,sell
14:36:03,8.18,+0.99,-0.01,1,818,sell
14:35:57,8.19,+1.11,0.0,1,819,sell
14:35:42,8.19,+1.11,0.01,9,7371,buy
14:35:30,8.18,+0.99,-0.01,29,23722,sell
14:35:27,8.19,+1.11,0.0,10,8190,buy
14:35:15,8.19,+1.11,0.0,6,4914,buy
14:35:12,8.19,+1.11,0.0,20,16380,buy
14:34:48,8.19,+1.11,0.0,51,41769,sell
14:34:36,8.19,+1.11,0.0,50,40950,sell
14:34:33,8.19,+1.11,0.0,4,3276,sell
14:34:18,8.19,+1.11,0.0,240,196560,sell
14:34:12,8.19,+1.11,0.0,10,8190,sell
14:34:06,8.19,+1.11,0.0,14,11466,sell
14:34:03,8.19,+1.11,0.0,5,4095,sell
14:34:00,8.19,+1.11,0.0,11,9009,sell
14:33:57,8.19,+1.11,0.0,9,7371,sell
14:33:54,8.19,+1.11,-0.01,20,16380,sell
14:33:42,8.2,+1.23,0.01,50,41000,buy
14:33:39,8.19,+1.11,-0.01,5,4095,sell
14:33:36,8.2,+1.23,0.0,10,8200,buy
14:33:30,8.2,+1.23,0.01,20,16400,buy
14:32:57,8.19,+1.11,-0.01,8,6552,sell
14:32:54,8.2,+1.23,0.01,40,32800,buy
14:32:42,8.19,+1.11,-0.01,3,2457,sell
14:32:39,8.2,+1.23,0.0,24,19680,buy
14:32:21,8.2,+1.23,0.01,1,820,buy
