time,price,pchange,change,volume,amount,type
15:00:03,25.3,+2.89,0.0,8986,22734580,sell
14:57:00,25.3,+2.89,0.0,172,435666,sell
14:56:57,25.3,+2.89,0.0,81,204930,sell
14:56:54,25.3,+2.89,0.0,905,2291674,sell
14:56:54,25.3,+2.89,0.0,905,2291674,norm
14:56:54,25.3,+2.89,0.05,905,2291674,buy
14:56:51,25.25,+2.68,-0.01,80,202000,sell
14:56:48,25.26,+2.72,-0.01,108,272808,sell
14:56:45,25.27,+2.77,0.03,52,131404,buy
14:56:42,25.24,+2.64,-0.01,586,1479064,sell
14:56:39,25.25,+2.68,-0.02,2401,6063030,sell
14:56:36,25.27,+2.77,0.0,99,250173,buy
14:56:33,25.27,+2.77,0.0,145,366415,buy
14:56:30,25.27,+2.77,-0.02,61,154147,norm
14:56:27,25.29,+2.85,0.0,85,214965,buy
14:56:24,25.29,+2.85,0.03,428,1082412,buy
14:56:21,25.26,+2.72,-0.01,352,889152,sell
14:56:18,25.27,+2.77,0.01,71,179417,sell
14:56:15,25.26,+2.72,-0.02,42,106092,sell
14:56:12,25.28,+2.81,0.01,215,543520,buy
14:56:09,25.27,+2.77,-0.01,16,40432,buy
14:56:06,25.28,+2.81,0.01,29,73312,buy
14:56:03,25.27,+2.77,0.01,40,101080,sell
14:56:00,25.26,+2.72,-0.02,65,164190,sell
14:55:57,25.28,+2.81,0.0,34,85952,sell
14:55:54,25.28,+2.81,-0.01,340,859520,sell
14:55:51,25.29,+2.85,0.02,232,586728,buy
14:55:48,25.27,+2.77,-0.02,30,75810,sell
14:55:45,25.29,+2.85,0.02,175,442575,buy
14:55:42,25.27,+2.77,-0.03,79,199633,sell
14:55:39,25.3,+2.89,0.01,49,123970,buy
14:55:36,25.29,+2.85,-0.01,67,169443,sell
14:55:33,25.3,+2.89,-0.01,556,1406680,sell
14:55:30,25.31,+2.93,0.0,703,1779293,sell
14:55:27,25.31,+2.93,0.0,58,146798,buy
14:55:24,25.31,+2.93,0.0,25,63275,sell
14:55:21,25.31,+2.93,0.0,219,554289,sell
14:55:18,25.31,+2.93,0.01,17,43027,norm
14:55:15,25.3,+2.89,-0.02,78,197340,sell
14:55:12,25.32,+2.97,0.0,231,584892,sell
14:55:09,25.32,+2.97,-0.01,96,243072,sell
14:55:06,25.33,+3.01,0.0,33,83589,buy
14:55:03,25.33,+3.01,0.0,52,131716,buy
14:55:00,25.33,+3.01,-0.01,479,1213307,sell
14:54:57,25.34,+3.05,0.0,33,83622,buy
14:54:54,25.34,+3.05,0.01,136,344624,buy
14:54:51,25.33,+3.01,-0.01,133,336889,sell
14:54:48,25.34,+3.05,-0.01,112,283808,sell
14:54:45,25.35,+3.09,0.01,169,428415,buy
14:54:42,25.34,+3.05,0.0,96,243264,sell
14:54:39,25.34,+3.05,0.01,59,149506,sell
14:54:36,25.33,+3.01,-0.02,119,301427,sell
14:54:33,25.35,+3.09,0.01,200,507000,buy
14:54:30,25.34,+3.05,0.0,46,116564,buy
14:54:27,25.34,+3.05,0.0,129,326886,sell
14:54:24,25.34,+3.05,-0.01,12,30408,sell
14:54:21,25.35,+3.09,0.01,54,136890,buy
14:54:18,25.34,+3.05,0.0,23,58282,sell
14:54:15,25.34,+3.05,-0.01,213,539742,sell
14:54:12,25.35,+3.09,0.0,350,887250,buy
14:54:09,25.35,+3.09,0.01,11,27885,buy
14:54:06,25.34,+3.05,-0.01,43,108962,sell
14:54:03,25.35,+3.09,-0.01,260,659100,sell
14:54:00,25.36,+3.13,0.01,165,418440,buy
14:53:57,25.35,+3.09,-0.01,50,126750,sell
14:53:54,25.36,+3.13,0.01,163,413368,buy
