finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
inxYahoo100sp,01,101.0,3287.0,1696.0,1591.0,52.0,48.0
inxYahoo100sp,02,101.0,3289.0,1726.0,1563.0,52.0,48.0
inxYahoo100sp,03,101.0,3207.0,1831.0,1376.0,57.0,43.0
inxYahoo100sp,04,101.0,3211.0,1910.0,1301.0,59.0,41.0
inxYahoo100sp,05,101.0,3215.0,1717.0,1498.0,53.0,47.0
inxYahoo100sp,06,101.0,3231.0,1529.0,1702.0,47.0,53.0
inxYahoo100sp,07,101.0,3234.0,1680.0,1554.0,52.0,48.0
inxYahoo100sp,08,101.0,3236.0,1590.0,1646.0,49.0,51.0
inxYahoo100sp,09,101.0,3239.0,1585.0,1654.0,49.0,51.0
inxYahoo100sp,10,101.0,3240.0,1879.0,1361.0,58.0,42.0
inxYahoo100sp,11,101.0,3247.0,1820.0,1427.0,56.0,44.0
inxYahoo100sp,12,101.0,3260.0,1952.0,1308.0,60.0,40.0
