time,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
2011-01-01,0.0,1000000.0,0.0,1000000.0,0.0,0.0,0.0,0.0
2011-01-03,204260.74121799998,795739.258782,0.0,1000000.0,1000000.0,1000000.0,1.0,0.0
2011-01-04,202111.937399,795739.258782,-0.21488038190000228,997851.196181,997851.196181,1000000.0,2.0,-0.0021488038190000227
2011-01-05,205707.492065,795739.258782,0.3603297445311548,1001446.750847,1001446.750847,1001446.750847,2.0,-0.0021488038190000227
2011-01-06,206460.76787599997,795739.258782,0.07521875829771371,1002200.026658,1002200.026658,1002200.026658,2.0,-0.0021488038190000227
2011-01-07,209811.734705,795739.258782,0.3343610796114612,1005550.993487,1005550.993487,1005550.993487,2.0,-0.0021488038190000227
2011-01-10,212090.43546199996,795739.258782,0.22661215311399052,1007829.694244,1007829.694244,1007829.694244,2.0,-0.0021488038190000227
2011-01-11,213766.53482200002,795739.258782,0.16630779680065685,1009505.793604,1009505.793604,1009505.793604,2.0,-0.0021488038190000227
2011-01-12,213401.785805,795739.258782,-0.03613144365400701,1009141.044587,1009141.044587,1009505.793604,2.0,-0.0021488038190000227
2011-01-13,215806.134015,795739.258782,0.23825690401721478,1011545.392797,1011545.392797,1011545.392797,2.0,-0.0021488038190000227
2011-01-14,222774.597006,795739.258782,0.6888927615726375,1018513.855788,1018513.855788,1018513.855788,2.0,-0.0021488038190000227
2011-01-18,227524.16001500003,795739.258782,0.4663228665971765,1023263.4187970001,1023263.4187970001,1023263.4187970001,2.0,-0.0021488038190000227
2011-01-19,223610.82478899998,795739.258782,-0.3824367366323686,1019350.083571,1019350.083571,1023263.4187970001,2.0,-0.0038243673663236858
2011-01-20,221040.578833,795739.258782,-0.2521455579810052,1016779.8376150001,1016779.8376150001,1023263.4187970001,3.0,-0.006336179973698677
2011-01-21,224958.163544,795739.258782,0.38529331189229904,1020697.422326,1016779.8376150001,1023263.4187970001,4.0,-0.006336179973698677
2011-01-24,224786.76843,795739.258782,-0.016791961089652873,1020526.027212,1016779.8376150001,1023263.4187970001,7.0,-0.006336179973698677
2011-01-25,226747.72191199998,795739.258782,0.1921512464858165,1022486.980694,1016779.8376150001,1023263.4187970001,8.0,-0.006336179973698677
2011-01-26,229948.03162,795739.258782,0.31299270977786675,1025687.2904020001,1025687.2904020001,1025687.2904020001,8.0,-0.006336179973698677
2011-01-27,233503.29161299998,795739.258782,0.3466222138334711,1029242.550395,1029242.550395,1029242.550395,8.0,-0.006336179973698677
2011-01-28,232130.92589699998,795739.258782,-0.13333744465512898,1027870.184679,1027870.184679,1029242.550395,8.0,-0.006336179973698677
2011-01-31,241143.27704900003,795739.258782,0.8767985769345513,1036882.5358310001,1036882.5358310001,1036882.5358310001,8.0,-0.006336179973698677
2011-02-01,276475.90461100003,795739.258782,3.407582473523199,1072215.1633930001,1072215.1633930001,1072215.1633930001,8.0,-0.006336179973698677
2011-02-02,271798.31972699997,795739.258782,-0.43625431197950054,1067537.5785090001,1067537.5785090001,1072215.1633930001,8.0,-0.006336179973698677
2011-02-03,269638.587742,795739.258782,-0.2023096918064842,1065377.8465240002,1065377.8465240002,1072215.1633930001,8.0,-0.006376814190319265
2011-02-04,269372.052211,795739.258782,-0.025017934422970924,1065111.310993,1065111.310993,1072215.1633930001,8.0,-0.006625398187356565
2011-02-07,274751.65058400005,795739.258782,0.5050738188091028,1070490.909366,1065111.310993,1072215.1633930001,8.0,-0.006625398187356565
2011-02-08,273523.25711,795739.258782,-0.11475048160171286,1069262.515892,1065111.310993,1072215.1633930001,8.0,-0.006625398187356565
2011-02-09,274147.828391,795739.258782,0.058411407088278106,1069887.087173,1065111.310993,1072215.1633930001,9.0,-0.006625398187356565
2011-02-10,285863.967532,795739.258782,1.0950818344726518,1081603.226314,1081603.226314,1081603.226314,9.0,-0.006625398187356565
2011-02-11,294715.880124,795739.258782,0.8184066371701352,1090455.1389060002,1090455.1389060002,1090455.1389060002,9.0,-0.006625398187356565
2011-02-14,296520.67291900003,795739.258782,0.16550821126035126,1092259.931701,1092259.931701,1092259.931701,9.0,-0.006625398187356565
2011-02-15,292851.94772000005,795739.258782,-0.3358838947141999,1088591.206502,1088591.206502,1092259.931701,9.0,-0.006625398187356565
2011-02-16,298507.84577,795739.258782,0.5195612472540736,1094247.104552,1094247.104552,1094247.104552,9.0,-0.006625398187356565
2011-02-17,302046.667833,795739.258782,0.3234024607676512,1097785.926615,1097785.926615,1097785.926615,9.0,-0.006625398187356565
2011-02-18,301564.199228,795739.258782,-0.043949243044817406,1097303.4580100002,1097303.4580100002,1097785.926615,9.0,-0.006625398187356565
2011-02-22,290621.407828,795739.258782,-0.9972438635931339,1086360.6666100002,1086360.6666100002,1097785.926615,9.0,-0.010407548255085912
2011-02-23,285228.411309,795739.258782,-0.4964278148829865,1080967.670091,1080967.670091,1097785.926615,9.0,-0.015320160439530162
2011-02-24,282033.60027,795739.258782,-0.2955510259368689,1077772.859052,1077772.859052,1097785.926615,9.0,-0.018230391807544644
2011-02-25,300668.80964600004,795739.258782,1.7290479361663682,1096408.068428,1077772.859052,1097785.926615,9.0,-0.018230391807544644
2011-02-28,310344.11150500004,795739.258782,0.8824544562931225,1106083.3702870002,1106083.3702870002,1106083.3702870002,9.0,-0.018230391807544644
2011-03-01,304197.856468,795739.258782,-0.5556773749708735,1099937.11525,1099937.11525,1106083.3702870002,9.0,-0.018230391807544644
2011-03-02,311062.613502,795739.258782,0.6241045000504186,1106801.872284,1106801.872284,1106801.872284,9.0,-0.018230391807544644
2011-03-03,312190.402476,795739.258782,0.10189619318881338,1107929.661258,1107929.661258,1107929.661258,9.0,-0.018230391807544644
