finx,ksgn,nstk,nSum,nAdd,nDec,kAdd,kDec
inxYahoo500,01,500.0,12836.0,6556.0,6280.0,51.0,49.0
inxYahoo500,02,500.0,12849.0,6889.0,5960.0,54.0,46.0
inxYahoo500,03,500.0,12452.0,7182.0,5270.0,58.0,42.0
inxYahoo500,04,500.0,12482.0,7198.0,5284.0,58.0,42.0
inxYahoo500,05,500.0,12507.0,6729.0,5778.0,54.0,46.0
inxYahoo500,06,500.0,12566.0,5862.0,6704.0,47.0,53.0
inxYahoo500,07,500.0,12607.0,6465.0,6142.0,51.0,49.0
inxYahoo500,08,500.0,12621.0,6298.0,6323.0,50.0,50.0
inxYahoo500,09,500.0,12645.0,6292.0,6353.0,50.0,50.0
inxYahoo500,10,500.0,12672.0,7294.0,5378.0,58.0,42.0
inxYahoo500,11,500.0,12716.0,7232.0,5484.0,57.0,43.0
inxYahoo500,12,500.0,12769.0,7722.0,5047.0,60.0,40.0
