,time,stkVal,cash,dret,val,downLow,downHigh,downDay,downKMax
0,2011-01-03,204260.74121799998,795739.258782,0.0,1000000.0,1000000.0,1000000.0,1.0,0.0
1,2011-01-04,202111.937399,795739.258782,-0.0021488038190000227,997851.196181,997851.196181,1000000.0,2.0,-0.21488038190000228
2,2011-01-05,205707.492065,795739.258782,0.0036032974453115477,1001446.750847,1001446.750847,1001446.750847,2.0,-0.21488038190000228
3,2011-01-06,206460.76787599997,795739.258782,0.0007521875829771371,1002200.026658,1002200.026658,1002200.026658,2.0,-0.21488038190000228
4,2011-01-07,209811.734705,795739.258782,0.003343610796114612,1005550.993487,1005550.993487,1005550.993487,2.0,-0.21488038190000228
5,2011-01-10,212090.43546199996,795739.258782,0.0022661215311399053,1007829.694244,1007829.694244,1007829.694244,2.0,-0.21488038190000228
6,2011-01-11,213766.53482200002,795739.258782,0.0016630779680065686,1009505.793604,1009505.793604,1009505.793604,2.0,-0.21488038190000228
7,2011-01-12,213401.785805,795739.258782,-0.00036131443654007005,1009141.044587,1009141.044587,1009505.793604,2.0,-0.21488038190000228
8,2011-01-13,215806.134015,795739.258782,0.002382569040172148,1011545.392797,1011545.392797,1011545.392797,2.0,-0.21488038190000228
9,2011-01-14,222774.597006,795739.258782,0.006888927615726375,1018513.855788,1018513.855788,1018513.855788,2.0,-0.21488038190000228
10,2011-01-18,227524.16001500003,795739.258782,0.004663228665971765,1023263.4187970001,1023263.4187970001,1023263.4187970001,2.0,-0.21488038190000228
11,2011-01-19,223610.82478899998,795739.258782,-0.0038243673663236858,1019350.083571,1019350.083571,1023263.4187970001,2.0,-0.3824367366323686
12,2011-01-20,221040.578833,795739.258782,-0.0025214555798100517,1016779.8376150001,1016779.8376150001,1023263.4187970001,3.0,-0.6336179973698677
13,2011-01-21,224958.163544,795739.258782,0.0038529331189229906,1020697.422326,1016779.8376150001,1023263.4187970001,4.0,-0.6336179973698677
