date,open,high,close,low,volume,adj close
2011-01-03,2.23,2.23,2.23,2.23,0,2.23
2011-01-04,2.23,2.23,2.23,2.23,0,2.23
2011-01-05,2.16,2.23,2.16,2.16,3200,2.16
2011-01-06,2.2,2.2,2.12,1.9,97100,2.12
2011-01-07,2.09,2.2,2.17,2.09,4900,2.17
2011-01-10,2.2,2.2,2.2,2.2,500,2.2
2011-01-11,2.2,2.2,2.2,2.2,0,2.2
2011-01-12,1.94,2.22,2.2,1.94,3200,2.2
2011-01-13,2.19,2.21,2.21,2.1,5400,2.21
2011-01-14,2.2,2.2,2.19,2.19,2100,2.19
2011-01-18,2.23,2.23,2.23,2.22,2200,2.23
2011-01-19,2.23,2.25,2.25,2.23,3600,2.25
2011-01-20,2.29,2.36,2.36,2.29,4900,2.36
2011-01-21,2.24,2.36,2.35,2.24,2300,2.35
2011-01-24,2.34,2.34,2.3,2.3,500,2.3
2011-01-25,2.35,2.35,2.35,2.35,2400,2.35
2011-01-26,2.38,2.46,2.35,2.35,3200,2.35
2011-01-27,2.3,2.4,2.4,2.3,5500,2.4
2011-01-28,2.41,2.45,2.43,2.3,3300,2.43
2011-01-31,2.43,2.5,2.5,2.43,10200,2.5
2011-02-01,2.49,2.5,2.45,2.45,1400,2.45
2011-02-02,2.5,2.53,2.52,2.5,2600,2.52
2011-02-03,2.66,2.76,2.5,2.3,13800,2.5
2011-02-04,2.31,2.59,2.51,2.2,4100,2.51
2011-02-07,2.51,2.51,2.51,2.51,0,2.51
2011-02-08,2.51,2.55,2.55,2.51,400,2.55
2011-02-09,2.56,2.56,2.56,2.56,800,2.56
2011-02-10,2.57,2.59,2.59,2.52,900,2.59
2011-02-11,2.44,2.59,2.59,2.4,4400,2.59
2011-02-14,2.59,2.59,2.59,2.4,2700,2.59
2011-02-15,2.54,2.59,2.59,2.54,1400,2.59
2011-02-16,2.58,2.59,2.58,2.41,8600,2.58
2011-02-17,2.57,2.59,2.59,2.46,5300,2.59
2011-02-18,2.58,2.65,2.65,2.57,5700,2.65
2011-02-22,2.65,2.65,2.56,2.41,4200,2.56
2011-02-23,2.56,2.65,2.65,2.44,1900,2.65
2011-02-24,2.53,2.61,2.45,2.45,4300,2.45
2011-02-25,2.49,2.59,2.59,2.49,1000,2.59
2011-02-28,2.65,2.65,2.65,2.59,6100,2.65
2011-03-01,2.64,2.64,2.6,2.59,600,2.6
2011-03-02,2.63,2.63,2.62,2.59,700,2.62
2011-03-03,2.62,2.62,2.62,2.62,0,2.62
2011-03-04,2.59,2.65,2.65,2.59,400,2.65
2011-03-07,2.6,2.65,2.65,2.6,3800,2.65
2011-03-08,2.64,2.7,2.7,2.64,16900,2.7
2011-03-09,2.7,2.76,2.75,2.7,7900,2.75
2011-03-10,2.75,2.76,2.74,2.59,10900,2.74
2011-03-11,2.74,2.74,2.74,2.74,500,2.74
2011-03-14,2.74,2.74,2.7,2.7,1400,2.7
2011-03-15,2.7,2.73,2.7,2.63,2200,2.7
2011-03-16,2.69,2.74,2.74,2.69,1500,2.74
2011-03-17,2.74,2.74,2.7,2.7,700,2.7
2011-03-18,2.7,2.7,2.7,2.7,0,2.7
2011-03-21,2.74,2.75,2.73,2.7,2700,2.73
2011-03-22,2.61,2.75,2.75,2.61,5300,2.75
2011-03-23,2.75,2.75,2.75,2.75,1300,2.75
2011-03-24,2.7,2.7,2.7,2.7,2300,2.7
2011-03-25,2.63,2.75,2.75,2.62,6400,2.75
2011-03-28,2.68,2.75,2.75,2.61,8800,2.75
2011-03-29,2.75,2.75,2.7,2.62,9600,2.7
2011-03-30,2.63,2.69,2.69,2.63,1400,2.69
2011-03-31,2.63,2.74,2.73,2.61,9100,2.73
2011-04-01,2.72,2.83,2.79,2.72,10000,2.79
2011-04-04,2.7,2.83,2.79,2.67,15500,2.79
2011-04-05,2.79,2.84,2.84,2.68,7800,2.84
2011-04-06,2.83,2.89,2.89,2.7,17400,2.89
2011-04-07,2.91,2.96,2.96,2.91,5400,2.96
2011-04-08,2.98,3.17,3.09,2.79,15800,3.09
2011-04-11,3.1,3.1,3.08,3.03,4800,3.08
2011-04-12,3.09,3.11,3.11,3.08,6400,3.11
2011-04-13,3.16,3.16,3.15,3.1,4400,3.15
2011-04-14,3.14,3.15,3.15,3.01,2000,3.15
2011-04-15,3.15,3.15,3.15,3.09,2800,3.15
2011-04-18,3.15,3.15,3.15,3.15,0,3.15
2011-04-19,3.01,3.15,3.15,3.0,2100,3.15
2011-04-20,3.01,3.14,3.14,3.01,2800,3.14
2011-04-21,3.05,3.15,3.15,3.05,2000,3.15
2011-04-25,3.12,3.15,3.15,3.04,2200,3.15
2011-04-26,3.12,3.16,3.16,3.0,7500,3.16
2011-04-27,3.16,3.16,3.16,3.16,0,3.16
2011-04-28,3.16,3.19,3.16,3.09,4300,3.16
2011-04-29,3.13,3.16,3.15,3.13,2800,3.15
2011-05-02,3.15,3.15,3.15,3.15,0,3.15
2011-05-03,3.15,3.15,3.15,3.15,700,3.15
2011-05-04,3.14,3.15,3.15,3.14,700,3.15
2011-05-05,3.16,3.16,3.16,3.16,100,3.16
2011-05-06,3.01,3.25,3.12,3.01,16000,3.12
2011-05-09,3.12,3.24,3.13,3.12,4200,3.13
2011-05-10,3.15,3.23,3.23,3.15,1100,3.23
2011-05-11,3.12,3.24,3.23,3.12,3800,3.23
2011-05-12,3.23,3.23,3.23,3.23,0,3.23
2011-05-13,3.23,3.23,3.15,2.94,16900,3.15
2011-05-16,2.98,3.1,3.0,2.85,24000,3.0
2011-05-17,2.62,3.14,3.14,2.51,10300,3.14
2011-05-18,3.02,3.15,3.14,3.0,7800,3.14
2011-05-19,3.03,3.15,3.13,3.01,8700,3.13
2011-05-20,2.76,3.13,3.04,2.76,13100,3.04
2011-05-23,3.04,3.1,2.9,2.85,3100,2.9
2011-05-24,3.05,3.06,3.01,2.86,5200,3.01
2011-05-25,2.99,3.12,3.1,2.81,7800,3.1
2011-05-26,3.05,3.1,3.05,2.86,4300,3.05
2011-05-27,3.08,3.16,3.16,3.04,14200,3.16
2011-05-31,3.17,3.45,3.25,3.0,15500,3.25
2011-06-01,3.21,3.27,3.27,3.2,5700,3.27
2011-06-02,3.25,3.35,3.35,3.25,5000,3.35
2011-06-03,3.35,3.35,3.32,3.2,8100,3.32
2011-06-06,3.26,3.33,3.3,3.18,2400,3.3
2011-06-07,3.23,3.32,3.2,3.2,18100,3.2
2011-06-08,3.21,3.26,3.01,3.0,6500,3.01
2011-06-09,3.16,3.26,3.14,3.14,3700,3.14
2011-06-10,3.15,3.25,3.25,3.05,5000,3.25
2011-06-13,3.24,3.3,3.16,3.01,7900,3.16
2011-06-14,3.18,3.32,3.31,3.14,3900,3.31
2011-06-15,3.3,3.32,3.25,3.18,7300,3.25
2011-06-16,3.25,3.32,3.27,3.25,1900,3.27
2011-06-17,3.3,3.4,3.4,3.29,2300,3.4
2011-06-20,3.4,3.45,3.4,3.38,1900,3.4
2011-06-21,3.4,3.4,3.4,3.27,3800,3.4
2011-06-22,3.35,3.45,3.45,3.35,2100,3.45
2011-06-23,3.38,3.45,3.43,3.25,4600,3.43
2011-06-24,3.26,3.43,3.43,3.25,2000,3.43
2011-06-27,3.42,3.43,3.42,3.42,1200,3.42
2011-06-28,3.36,3.44,3.44,3.36,2200,3.44
2011-06-29,3.26,3.46,3.46,3.11,7700,3.46
2011-06-30,3.45,3.47,3.47,3.27,8500,3.47
2011-07-01,3.47,3.47,3.47,3.47,200,3.47
2011-07-05,3.47,3.47,3.47,3.47,600,3.47
2011-07-06,3.31,3.48,3.48,3.26,9300,3.48
2011-07-07,3.48,3.48,3.47,3.4,1100,3.47
2011-07-08,3.47,3.49,3.49,3.47,2100,3.49
2011-07-11,3.46,3.49,3.49,3.41,3200,3.49
2011-07-12,3.45,3.5,3.49,3.41,7200,3.49
2011-07-13,3.51,3.51,3.49,3.44,6300,3.49
2011-07-14,3.49,3.49,3.49,3.49,200,3.49
2011-07-15,3.52,3.55,3.55,3.47,13400,3.55
2011-07-18,3.55,3.75,3.68,3.55,26300,3.68
2011-07-19,3.72,3.78,3.76,3.68,13200,3.76
2011-07-20,3.75,3.79,3.79,3.75,4400,3.79
2011-07-21,3.79,3.79,3.74,3.7,3500,3.74
2011-07-22,3.71,3.77,3.69,3.68,10600,3.69
2011-07-25,3.48,3.6,3.58,3.44,8500,3.58
2011-07-26,3.54,3.68,3.68,3.46,6300,3.68
2011-07-27,3.6,3.68,3.68,3.53,1600,3.68
2011-07-28,3.65,3.67,3.52,3.08,15300,3.52
2011-07-29,3.49,3.63,3.56,3.49,900,3.56
2011-08-01,3.59,3.65,3.51,3.45,6800,3.51
2011-08-02,3.5,3.63,3.61,3.45,5000,3.61
2011-08-03,3.6,3.63,3.51,3.45,5900,3.51
2011-08-04,3.48,3.59,3.55,3.25,16100,3.55
2011-08-05,3.6,3.6,3.56,3.23,9600,3.56
2011-08-08,3.24,3.57,3.29,2.84,28100,3.29
2011-08-09,3.3,3.4,3.39,3.01,10700,3.39
2011-08-10,3.22,3.6,3.5,3.18,13300,3.5
