date,open,high,close,low,volume,adj close
2011-01-03,1.17,1.4,1.2,1.17,6400,1.2
2011-01-04,1.35,1.35,1.3,1.3,4400,1.3
2011-01-05,1.3,1.4,1.34,1.3,4800,1.34
2011-01-06,1.3,1.3,1.3,1.15,8400,1.3
2011-01-07,1.3,1.3,1.3,1.3,200,1.3
2011-01-10,1.3,1.3,1.3,1.3,600,1.3
2011-01-11,1.21,1.3,1.25,1.2,3200,1.25
2011-01-12,1.25,1.25,1.25,1.25,0,1.25
2011-01-13,1.3,1.35,1.35,1.3,12900,1.35
2011-01-14,1.39,1.39,1.37,1.32,5300,1.37
2011-01-18,1.37,1.4,1.4,1.37,8400,1.4
2011-01-19,1.4,1.45,1.4,1.35,16200,1.4
2011-01-20,1.3,1.4,1.4,1.3,1800,1.4
2011-01-21,1.4,1.4,1.4,1.35,3100,1.4
2011-01-24,1.4,1.6,1.6,1.35,43300,1.6
2011-01-25,1.33,1.51,1.5,1.33,10200,1.5
2011-01-26,1.5,1.5,1.5,1.45,5000,1.5
2011-01-27,1.5,1.5,1.41,1.35,4600,1.41
2011-01-28,1.41,1.41,1.4,1.35,13100,1.4
2011-01-31,1.33,1.44,1.44,1.32,7900,1.44
2011-02-01,1.44,1.44,1.4,1.35,5700,1.4
2011-02-02,1.35,1.45,1.4,1.35,10200,1.4
2011-02-03,1.5,1.5,1.5,1.49,10200,1.5
2011-02-04,1.5,1.6,1.55,1.5,5000,1.55
2011-02-07,1.56,1.6,1.6,1.45,13900,1.6
2011-02-08,1.7,2.3,2.0,1.6,47400,2.0
2011-02-09,1.8,2.09,2.0,1.75,6600,2.0
2011-02-10,2.0,2.0,2.0,1.99,1900,2.0
2011-02-11,2.0,2.1,2.02,1.95,10200,2.02
2011-02-14,1.8,2.1,2.05,1.8,18500,2.05
2011-02-15,1.8,2.1,1.95,1.8,3000,1.95
2011-02-16,1.95,1.95,1.95,1.8,2400,1.95
2011-02-17,1.95,1.95,1.95,1.95,100,1.95
2011-02-18,2.1,2.1,2.0,1.81,6000,2.0
2011-02-22,2.0,2.0,1.87,1.8,25000,1.87
2011-02-23,1.8,1.87,1.87,1.8,300,1.87
2011-02-24,2.0,2.0,1.89,1.76,10100,1.89
2011-02-25,2.1,2.1,1.9,1.85,8200,1.9
2011-02-28,2.07,2.07,1.95,1.85,3600,1.95
2011-03-01,1.95,1.95,1.9,1.85,1600,1.9
2011-03-02,1.95,2.0,2.0,1.95,9000,2.0
2011-03-03,2.1,2.15,2.13,2.1,4900,2.13
2011-03-04,2.0,2.0,2.0,2.0,1100,2.0
2011-03-07,2.0,2.0,2.0,2.0,2500,2.0
2011-03-08,2.12,2.12,2.05,1.76,34300,2.05
2011-03-09,2.05,2.05,2.05,2.05,0,2.05
2011-03-10,2.05,2.05,2.05,1.95,4600,2.05
2011-03-11,2.0,2.0,2.0,1.85,14000,2.0
2011-03-14,1.8,2.1,2.0,1.8,1200,2.0
2011-03-15,1.95,1.95,1.95,1.95,900,1.95
2011-03-16,1.95,2.1,2.0,1.95,7500,2.0
2011-03-17,1.81,2.1,2.02,1.81,3800,2.02
2011-03-18,2.0,2.08,2.0,2.0,900,2.0
2011-03-21,2.1,2.25,2.25,2.1,15800,2.25
2011-03-22,2.25,2.31,2.25,2.2,117900,2.25
2011-03-23,2.31,2.45,2.45,2.15,119600,2.45
2011-03-24,2.45,2.66,2.55,2.45,235600,2.55
2011-03-25,2.75,2.9,2.89,2.63,101100,2.89
2011-03-28,2.95,2.95,2.85,2.7,13200,2.85
2011-03-29,2.9,2.9,2.8,2.6,7100,2.8
2011-03-30,2.8,2.8,2.8,2.8,0,2.8
2011-03-31,2.8,2.8,2.8,2.8,200,2.8
2011-04-01,2.7,2.7,2.65,2.65,4900,2.65
2011-04-04,2.65,2.75,2.75,2.65,4600,2.75
