time,open,high,low,close,volume,amount,vol_norm,amo_norm,vol_buy,amo_buy,vol_sell,amo_sell
 15:00:00,25.3,25.3,25.3,25.3,8986.0,22734580.0,0.0,0.0,0.0,0.0,8986.0,22734580.0
 14:45:00,25.34,25.39,25.24,25.3,35103.0,88889201.0,1307.0,3310027.0,14285.0,36190011.0,19511.0,49389163.0
 14:30:00,25.36,25.45,25.2,25.34,35384.0,89713383.0,1080.0,2734822.0,13616.0,34547109.0,20688.0,52431452.0
 14:15:00,25.44,25.44,25.3,25.36,19298.0,48984347.0,878.0,2229466.0,7011.0,17804685.0,11409.0,28950196.0
 14:00:00,25.14,25.5,25.14,25.45,51019.0,129179383.0,1325.0,3358469.0,27448.0,69525781.0,22246.0,56295133.0
 13:45:00,25.13,25.24,25.02,25.15,34331.0,86376463.0,611.0,1535645.0,16932.0,42607863.0,16788.0,42232955.0
 13:30:00,25.01,25.13,24.89,25.13,35241.0,88014226.0,1220.0,3048297.0,14459.0,36143142.0,19562.0,48822787.0
 13:15:00,25.08,25.25,25.0,25.01,23067.0,57983363.0,694.0,1738943.0,9025.0,22707182.0,13348.0,33537238.0
 13:00:00,25.3,25.32,25.02,25.08,15052.0,38013750.0,266.0,674969.0,6125.0,15475719.0,8661.0,21863062.0
 11:30:00,25.31,25.31,25.31,25.31,304.0,769424.0,0.0,0.0,304.0,769424.0,0.0,0.0
 11:15:00,25.28,25.35,25.23,25.3,20911.0,52897707.0,233.0,588998.0,10733.0,27153654.0,9945.0,25155055.0
 11:00:00,25.18,25.3,25.18,25.28,16603.0,41942840.0,163.0,411971.0,9691.0,24489040.0,6749.0,17041829.0
 10:45:00,25.18,25.25,25.1,25.18,15161.0,38169865.0,328.0,825851.0,7442.0,18742231.0,7391.0,18601783.0
 10:30:00,25.0,25.29,24.89,25.18,39575.0,99210326.0,2418.0,6045528.0,22219.0,55688738.0,14938.0,37476060.0
 10:15:00,25.39,25.4,25.0,25.0,58229.0,146939227.0,2777.0,6995130.0,27192.0,68705076.0,28260.0,71239021.0
 10:00:00,25.4,25.42,25.2,25.38,43692.0,110681972.0,1559.0,3948503.0,21302.0,53997930.0,20831.0,52735539.0
 09:45:00,25.46,25.54,25.3,25.39,85472.0,217629922.0,1904.0,4843044.0,54334.0,138444263.0,29234.0,74342615.0
 09:30:00,25.64,25.78,25.01,25.46,254431.0,646710429.0,9506.0,24144378.0,116415.0,295959008.0,128510.0,326607043.0
 09:15:00,25.58,25.58,25.58,25.58,28904.0,73936432.0,14452.0,36968216.0,0.0,0.0,0.0,0.0
